Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Turbo
FERRARI,SF90 STRADALE,V8,3990.0,963.0,340,2.5,33.666666666666664,plug in hyrbrid,2,800.0,No
ROLLS ROYCE,PHANTOM,V12,6749.0,563.0,250,5.3,230.0,Petrol,5,900.0,No
Ford,KA+,1.2L Petrol,100.5,77.5,165,10.5,6.75,Petrol,5,140.0,No
MERCEDES, GT 63 S,V8,492.5,630.0,250,3.2,80.5,Petrol,4,900.0,No
AUDI,AUDI R8 Gt,V10,104.5,602.0,320,3.6,271.5,Petrol,2,560.0,No
BMW,Mclaren 720s,V8,498.5,710.0,341,2.9,249.5,Petrol,2,770.0,No
ASTON MARTIN,VANTAGE F1,V8,492.5,656.0,314,3.6,316.5,Petrol,2,685.0,No
BENTLEY,Continental GT Azure,V8,499.5,550.0,318,4.0,155.5,Petrol,4,900.0,No
LAMBORGHINI,VENENO ROADSTER,V12,252.0,750.0,356,2.9,168.0,Petrol,2,690.0,No
FERRARI,F8 TRIBUTO,V8,451.5,710.0,340,2.9,140.0,Petrol,2,770.0,No
FERRARI,812 GTS,V12,6496.0,789.0,340,2.9,175.0,Petrol,2,718.0,No
FERRARI,PORTOFINO,V8,451.5,592.0,320,3.2,105.0,Petrol,22,760.0,No
FERRARI,ROMA,V8,451.5,612.0,320,3.4,115.0,Petrol,22,760.0,No
FERRARI,MONZA SP2,V12,251.0,789.0,340,2.9,233.66666666666666,Petrol,2,719.0,No
FERRARI,F8 SPIDER,V8,451.5,710.0,340,2.9,140.0,Petrol,2,770.0,No
FERRARI,PORTOFINO M,V8,451.5,612.0,320,3.2,110.0,Petrol,22,760.0,No
FERRARI,ROMA SPIDER,V8,451.5,612.0,320,3.4,120.0,Petrol,22,760.0,No
TOYOTA,GR SUPRA,I4,500.0,382.0,250,4.1,476.5,Petrol,2,500.0,No
TOYOTA,TOYOTA 86,BOXER-4,499.5,205.0,226,6.4,13.5,Petrol,22,205.0,No
TOYOTA,TOYOTA  GR86,BOXER-4,194.5,228.0,226,5.6,15.0,Petrol,4,250.0,No
TOYOTA,TOYOTA LAND CRUISER,V8,334.0,381.0,220,6.7,42.5,Diesel,7,500.0,No
TOYOTA,TOYOTA SEQUOIA,V8,334.0,381.0,200,6.9,25.0,Petrol,7,651.0,No
NISSAN,GT-R,V6,401.0,600.0,315,2.9,56.5,Petrol,4,637.0,No
NISSAN,370Z,V6,349.5,332.0,250,4.7,15.0,Petrol,2,366.0,No
NISSAN,Z PROTO,V6,500.0,400.0,290,4.1,20.0,Petrol,2,475.0,No
NISSAN,ALTIMA,I4,245.0,188.0,225,7.3,12.5,Petrol,5,380.0,No
NISSAN,MAXIMA,V6,250.5,300.0,240,5.8,17.5,Petrol,5,354.0,No
NISSAN,SENTRA,I4,499.5,149.0,200,8.2,10.0,Petrol,5,240.0,No
NISSAN,ROGUE,I4,245.0,201.0,200,7.5,14.0,Petrol,5,270.0,No
NISSAN,PATHFINDER,V6,250.5,284.0,225,6.5,17.5,Petrol,7,351.0,No
NISSAN,FRONTIER,V6,401.0,310.0,180,6.8,15.0,Petrol,5,381.0,No
NISSAN,TITAN,V8,301.5,400.0,200,5.9,20.0,Petrol,5,560.0,No
ASTON MARTIN,VALKYRIE,V12,251.0,1160.0,402,2.5,67.66666666666667,Hybrid,2,900.0,No
ASTON MARTIN,VALHALLA,V8,499.5,1000.0,362,2.5,33.666666666666664,Hybrid,2,1000.0,No
ASTON MARTIN,DBS SUPERLEGGERA,V12,104.5,715.0,340,3.4,158.0,Petrol,2,900.0,No
ASTON MARTIN,DB11,V12,104.5,600.0,322,3.9,104.0,Petrol,4,700.0,No
ASTON MARTIN,VANTAGE ,V8,499.5,503.0,313,3.6,71.0,Petrol,2,685.0,No
ASTON MARTIN,DBX,V8,499.5,542.0,291,4.5,94.5,Petrol,5,700.0,No
ASTON MARTIN,RAPIDE AMR,V12,470.0,580.0,328,4.2,120.0,Petrol,4,630.0,No
ASTON MARTIN,VANQUISH,V12,470.0,580.0,324,3.6,147.0,Petrol,2,630.0,No
ASTON MARTIN,LAGONDA TARAF,V12,470.0,540.0,314,4.2,33.666666666666664,Petrol,4,630.0,No
ASTON MARTIN,VICTOR,V12,104.5,836.0,320,2.8,100.33333333333333,Petrol,2,821.0,No
LAMBORGHINI,SIAN,V12,252.0,819.0,350,2.8,267.3333333333333,Hybrid,2,720.0,No
LAMBORGHINI,AVENTADOR SVJ,V12,252.0,759.0,350,2.8,259.0,Petrol,2,720.0,No
LAMBORGHINI,HURACAN PERFORMANTE,V10,104.5,640.0,325,2.9,137.0,Petrol,2,600.0,No
LAMBORGHINI,HURACAN EVO,V10,104.5,640.0,325,2.9,130.5,Petrol,2,600.0,No
LAMBORGHINI,AVENTADOR SV,V12,252.0,740.0,350,2.8,246.5,Petrol,2,690.0,No
LAMBORGHINI,URUS ,V8,499.5,641.0,305,3.6,105.5,Petrol,5,850.0,No
LAMBORGHINI,HURACAN SPYDER,V10,104.5,610.0,325,3.4,143.5,Petrol,2,600.0,No
LAMBORGHINI,AVENTADOR ROADSTER,V12,252.0,700.0,350,3.0,222.5,Petrol,2,690.0,No
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,104.5,640.0,325,3.1,154.0,Petrol,2,600.0,No
LAMBORGHINI,AVENTADOR S,V12,252.0,740.0,350,2.9,210.5,Petrol,2,690.0,No
LAMBORGHINI,HURACAN EVO SPYDER,V10,104.5,640.0,325,3.1,143.5,Petrol,2,600.0,No
LAMBORGHINI,URUS PERFORMANTE,V8,499.5,641.0,305,3.3,121.0,Petrol,5,850.0,No
LAMBORGHINI,AVENTADOR ULTIMAE,V12,252.0,769.0,355,2.8,272.5,Petrol,2,720.0,No
LAMBORGHINI,HURACAN EVO RWD,V10,104.5,610.0,325,3.3,129.0,Petrol,2,560.0,No
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,252.0,759.0,350,2.9,286.5,Petrol,2,720.0,No
LAMBORGHINI,URUS S,V8,499.5,671.0,305,3.3,131.5,Petrol,5,850.0,No
LAMBORGHINI,HURACAN STO,V10,104.5,640.0,325,3.0,163.5,Petrol,2,565.0,No
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,252.0,769.0,355,2.8,272.5,Petrol,2,720.0,No
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,104.5,610.0,325,3.3,136.5,Petrol,2,600.0,No
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,252.0,759.0,350,2.9,301.5,Petrol,2,720.0,No
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,500.5,641.0,305,3.3,126.5,Petrol,5,850.0,No
LAMBORGHINI,HURACAN STO EVO,V10,104.5,640.0,325,3.0,171.0,Petrol,2,565.0,No
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,252.0,769.0,355,2.8,286.5,Petrol,2,720.0,No
ROLLS ROYCE ,GHOST,V12,299.0,591.0,250,4.8,166.0,Petrol,5,850.0,No
ROLLS ROYCE,WRAITH,V12,299.0,624.0,250,4.4,165.0,Petrol,4,870.0,No
ROLLS ROYCE,DAWN,V12,299.0,624.0,250,4.9,180.0,Petrol,4,870.0,No
ROLLS ROYCE,CULLINAN,V12,377.5,563.0,250,5.2,162.5,Petrol,5,850.0,No
ROLLS ROYCE,PHANTOM EXTENDED,V12,377.5,563.0,250,5.3,250.0,Petrol,5,900.0,No
ROLLS ROYCE,GHOST EXTENDED,V12,299.0,591.0,250,4.8,185.0,Petrol,5,850.0,No
ROLLS ROYCE,WRAITH BLACK BADGE,V12,299.0,624.0,250,4.3,180.0,Petrol,4,870.0,No
ROLLS ROYCE,DAWN BLACK BADGE,V12,299.0,624.0,250,4.8,195.0,Petrol,4,870.0,No
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,377.5,563.0,250,5.1,175.0,Petrol,5,850.0,No
ROLLS ROYCE,PHANTOM COUPE,V12,377.5,563.0,250,5.3,225.0,Petrol,4,870.0,No
ROLLS ROYCE,GHOST COUPE,V12,299.0,591.0,250,4.8,170.0,Petrol,4,850.0,No
ROLLS ROYCE,WRAITH COUPE,V12,299.0,624.0,250,4.4,165.0,Petrol,4,870.0,No
ROLLS ROYCE,DAWN CONVERTIBLE,V12,299.0,624.0,250,4.9,190.0,Petrol,4,870.0,No
ROLLS ROYCE,CULLINAN SUV,V12,377.5,563.0,250,5.2,160.0,Petrol,5,850.0,No
MERCEDES,BENZ S-CLASS S 580,V8,492.5,496.0,250,4.4,58.0,Petrol,5,700.0,No
MERCEDES,BENZ E-CLASS E 63 S,V8,492.5,603.0,250,3.4,52.0,Petrol,5,850.0,No
MERCEDES,BENZ CLA 45 AMG,I4,1991.0,382.0,250,4.1,26.5,Petrol,5,500.0,No
MERCEDES,BENZ GLE 63 S,V8,492.5,603.0,250,4.2,56.5,Petrol,5,850.0,No
MERCEDES,BENZ S-CLASS S 500,V6,499.0,429.0,250,4.9,54.5,Petrol,5,700.0,No
MERCEDES,BENZ E-CLASS E 450 ,V6,499.0,362.0,250,5.2,31.0,Petrol,5,500.0,No
MERCEDES,BENZ CLS 450,V6,499.0,362.0,250,5.2,35.0,Petrol,5,500.0,No
MERCEDES,BENZ GT 53,V6,499.0,429.0,250,4.5,49.5,Petrol,5,700.0,No
MERCEDES,BENZ GLE 450,V6,499.0,362.0,250,5.5,31.5,Petrol,5,500.0,No
MERCEDES,BENZ A-CLASS A 45 S,I4,496.0,416.0,250,3.9,26.5,Petrol,5,500.0,No
